Team,Runs,OppRuns,MatchesPlayed,MatchesWon
Afghanistan,2584,2645,19,7
Australia,5294,5363,36,22
Bangladesh,4275,4521,32,7
England,5769,5343,37,19
Hong Kong,723,766,6,1
India,5375,5138,36,23
Ireland,1801,2112,15,4
Kenya,161,334,2,0
Namibia,988,1146,8,3
Nepal,416,333,3,2
Netherlands,1721,1766,14,5
New Zealand,4851,4794,35,20
Oman,602,739,5,2
P.N.G.,374,477,3,0
Pakistan,6398,5744,39,24
Scotland,1615,2075,14,4
South Africa,5247,5007,35,22
Sri Lanka,6059,5341,42,27
U.A.E.,390,373,3,0
West Indies,4969,4966,34,18
Zimbabwe,1442,1697,12,5